"year","price"
"Oct
2017","145.16"
"Oct
2017","286.604"
"Oct
2017","154.4"
"Oct
2017","288.8"
"Nov
2017","364.862"
"Nov
2017","159.85"
"Nov
2017","295.204"
"Nov
2017","445.227"
"Dec
2017","178.73"
"Dec
2017","249.71"
"Dec
2017","420.912"
"Dec
2017","412.731"
"Dec
2017","806.569"
"Jan
2018","411.953"
"Jan
2018","265.831"
"Jan
2018","233.141"
"Jan
2018","308.006"
"Jan
2018","283.056"
"Feb
2018","337.187"
"Feb
2018","145.16"
"Mar
2018","621.179"
"Mar
2018","258.4"
"Mar
2018","413.81"
"Apr
2018","355.24"
"Apr
2018","258.4"
"Apr
2018","414.421"
"Jun
2018","475.483"
"Jul
2018","412.846"
"Aug
2018","361.58"
